113, "Hector Velazquez", 11, -118.278487, 34.024999
173, "Jackson Burks", 5, -118.285375, 34.026300
197, "Demetrius Clay", 1, -118.287417, 34.029103
202, "Dennis Mack", 12, -118.289937, 34.020769
214, "Hanna Figueroa", 11, -118.280288, 34.024623
238, "Eugene Doyle", 1, -118.288404, 34.032586
242, "Emma Preston", 8, -118.288300, 34.026439
247, "Austin Baker", 5, -118.285709, 34.024962
261, "Lyle Nevin", 4, -118.288830, 34.028676
294, "Gary Abbott", 7, -118.281852, 34.026441
318, "Earl Keaton", 8, -118.286941, 34.025495
327, "Lionel Shields", 3, -118.292958, 34.025307
341, "Steve Barlow", 4, -118.290312, 34.031229
369, "Graham Noble", 9, -118.283174, 34.028971
384, "Frank Jones", 12, -118.289884, 34.020887
387, "Ignatius Hines", 3, -118.293771, 34.023644
405, "Denton Ross", 4, -118.288877, 34.031985
409, "Carol Webb", 7, -118.281798, 34.024772
453, "Mickey Wolfe", 2, -118.285399, 34.023697
485, "Basil Stevens", 6, -118.288309, 34.027773
491, "Jillian Snow", 10, -118.291363, 34.025604
523, "Jonathan Carpenter", 8, -118.287034, 34.026551
566, "Thomas Frazier", 7, -118.283802, 34.025625
588, "Iris Carver", 6, -118.285783, 34.027259
651, "Leroy Brock", 7, -118.283777, 34.027499
661, "Malik Little", 8, -118.287168, 34.024637
678, "Rudyard Harrison", 4, -118.291683, 34.029403
694, "Clarke Gains", 5, -118.283321, 34.027174
699, "Igor Hendrix", 1, -118.286453, 34.031897
716, "Jeremy Sanford", 3, -118.294903, 34.024833
752, "Kendall Ramirez", 11, -118.282099, 34.024712
756, "Denise Hall", 3, -118.292364, 34.024166
856, "Garrison Page", 5, -118.285398, 34.025523
873, "Kalia Suarez", 7, -118.283726, 34.023779
899, "Colt Vargas", 10, -118.290014, 34.024708
928, "Candace Weaver", 8, -118.289136, 34.025526
939, "Carlos Bauer", 1, -118.284562, 34.030140
946, "Karen Thompson", 2, -118.286503, 34.022315
977, "Carson Lee", 11, -118.280357, 34.025936
983, "Blake Evans", 5, -118.284350, 34.026582
